paper_number,doi,year_published,journal,article_type,data_used,data_availability,data_availability_text,data_link,data_archive,data_doi,data_license,data_license_type,data_download,data_open,data_format,data_README,data_README_scale,data_completeness,code_used,code_alert,code_archived,code_availability,code_link,code_archive,code_doi,code_license,code_license_type,code_CITATION,code_download,code_open,code_format,code_language,code_README,code_README_scale,code_annotation_scale,code_vignette,code_Rpackage_available,code_application_cited,code_comments,country_first,comments,recorder_ID
1833,10.1111/1365-2664.13997,2021,Journal of Applied Ecology,Research Article,Yes,Yes,"Data available via the Dryad Digital Repository https://doi.org/10.5061/dryad.f1vhhmgxh (Sharma et al., 2021).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.shp;.Rdata,Yes,6,Unsure,Yes,All the procedures were implemented in the ArcGIS ver. 10.8. and R ver 4.0.2.,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,India,NA,22
5800,10.1111/1365-2656.12918,2018,Journal of Animal Ecology,Research Article,Yes,Yes,"Data and code used in this paper are available are stored in the Dryad Digital Repository: https://doi.org/10.5061/dryad.pg28510 (Potter, King, Travis, & Bassar, 2018).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv,Yes,2,Complete,Yes,NA,Yes,Yes,Yes,Dryad,Yes,Yes,CC0,No,Yes,Yes,native source code,R,Yes,2,6,No,Not an R package,NA,"File containing custom functions contains no comments, main analysis file is well commented",United Kingdom of Great Britain and Northern Ireland,NA,104
1912,10.1111/1365-2435.13003,2017,Functional Ecology,Research Article,Yes,Yes,"Data deposited in the Dryad Digital Repository https://doi.org/10.5061/dryad.hf83v (Deniau et al., 2017).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.txt,No,NA,Complete,Yes,"We performed all statistical analyses using r version 3.1.1 (R Core Team, 2014) and the lme4 package (Bates, Maechler, Bolker, & Walker, 2015). As our experimental design used blocks, we worked with mixed models, always utilizing tree pair as random factor and including soil temperature and density of conspecific seedlings as covariables as they could influence seedling mortality, budburst delay, leaf herbivory, mycorrhization and fungal-driven decomposition. The adequacy of models to data was always checked graphically with residuals-vs.-fitted values plot and QQ plot of the residuals. Variance explained by each model was estimated by calculating the marginal R2 (i.e. variance explained by fixed factors only) and the conditional R2 (i.e. variance explained by both fixed and random factors) (Nakagawa & Schielzeth, 2013).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,France,NA,60
1192,10.1111/2041-210X.13231,2019,Methods in Ecology and Evolution,Practical Tools,No,NA,"OpenDropOff design files, source code and binaries are down-loadable at https://github.com/Wild‐Spy/OpenDrop (https://doi.org/10.5281/zenodo.3164835).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Yes,Yes,Yes,"GitHub, Codeberg, Gitlab, or similar platform",No,Unsure,NA,No,Yes,Yes,native source code,Other,Yes,1,1,No,Not an R package,NA,NA,NA,NA,12
63,10.1111/1365-2745.13739,2021,People and Nature,Research Article,Yes,Yes,"Data available from the Dryad Digital Repository https://doi.org/10.5061/dryad.xsj3tx9fr (Carboni et al., 2021).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.txt;.xls(x),NA,NA,High,Yes,"All models were fit in the R statistical framework (R Core Team, 2016), using the lme4 (Bates et al., 2015) and hier.part (Walsh & MacNally, 2018) packages. All metrics were calculated after excluding the invader (R package fd, Laliberté & Legendre, 2010; Thomsen et al., 2016).

",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Canada,NA,20
7341,10.1111/2041-210X.13673,2021,Methods in Ecology and Evolution,Application,Yes,Yes,The BEE-STEWARD tool and all associated data and documentation needed to run the tool will be available for download via the Dryad Digital Repository https://doi.org/10.5061/dryad.n5tb2rbw2 and on the https://beehave-model.net/download/ website on publication.,Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv;.txt;.png,Yes,8,Complete,Yes,"We, therefore, firstly integrated the landscape exploration module of BEESCOUT into Bumble-BEEHAVE for ease of loading, creating, modifying and running habitat maps with the bumblebee model in one application (see SI.3 user manual for how this was coded via the Dryad Digital Repository or the Supporting Information). Secondly, we reconstructed the code for a simplified interface (Figure 1) by designing a generic control panel displaying a subset of functions at any one time, providing a step-by-step approach.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,2
780,10.1111/1365-2656.13886,2023,Journal of Animal Ecology,Research Article,Yes,Yes,"Data available from the Dryad Digital Repository https://doi.org/10.5061/dryad.t1g1jwt5r (Sytsma et al., 2022).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv;.xls(x),Yes,5,Complete,Yes,"""We used a Similarity Profile Analysis (SIMPROF; Clarke et al., 2008) in the R package clustsig (Whitaker & Christman, 2014; version 1.1) to determine the number of significant vegetation clusters within GBNP."" etc.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America,NA,134
2002,10.1111/1365-2745.14023,2022,Journal of Ecology,Research Article,Yes,Yes,"R code supplementing the article has been archived on Zenodo https://doi.org/10.5281/zenodo.6525428 (Alecrim et al., 2022). The data supporting the findings are also available via the Phenology Observation Portal http://doi.org/10.5066/F78S4N1.",Yes,Zenodo;Other repo/database,Yes,Yes,CC BY,Yes,Yes,.csv/.tsv,Yes,6,Complete,Yes,NA,Yes,Yes,Yes,Zenodo,Yes,Yes,CC BY,No,Yes,Yes,native source code;notebook,R,Yes,NA,9,No,Not an R package,NA,NA,Canada,Data stem from citizen science,34
235,10.1111/1365-2745.13006,2018,Journal of Ecology,Research Article,Yes,Yes,"Dataset used in this study and r codes used to perform analyses are available through figshare: https://doi.org/10.6084/m9.figshare.4579021 (Berdugo et al., 2018).",Yes,Figshare,Yes,Yes,CC BY,Yes,Yes,.xls(x),Yes,6,Complete,Yes,NA,Yes,Yes,Yes,Figshare,Yes,Yes,CC BY,Yes,Yes,Yes,native source code;.txt,R,Yes,6,6,No,Not an R package,NA,NA,Spain,NA,123
1895,10.1111/1365-2656.13515,2021,Journal of Animal Ecology,Research Article,Yes,Yes,"All code and data are available on github at https://github.com/mfidino/coyote-mange and are archived on Zenodo https://doi.org/10.5281/zenodo.4721850 and Dryad Digital Repository https://doi.org/10.5061/dryad.x3ffbg7js (Murray et al., 2021).",Yes,"Dryad;GitHub, GitLab, Codeberg or similar platform;Zenodo",Yes,Yes,CC0,Yes,Yes,.csv/.tsv;.shp,Yes,8,Unsure,Yes,NA,Yes,Yes,Yes,"GitHub, Codeberg, Gitlab, or similar platform;Zenodo",Yes,Yes,CC0,Unsure,Yes,Yes,native source code,R;Python;BUGS/JAGS,Yes,7,8,Yes,Not an R package,NA,"This code uses multiple languages and platforms (r, Jags, Python)",NA,"I had problems because the paper reference to three different sources for code and data, and I was not clear how they relate and which sources I should use finding their code and data. They would have benefited from making this a bot clearer!",54
28,10.1111/1365-2656.13220,2020,Journal of Animal Ecology,Research Article,Yes,Yes,"Collated data from the National Rivers and Streams Assessment (2008–2009) and R code are deposited on the Open Science Framework: https://doi.org/10.17605/OSF.IO/62JE8 (Murray-Stoker & Murray-Stoker, 2020).",Yes,Other repo/database,Yes,Yes,CC BY,Yes,Yes,.csv/.tsv,Yes,10,Complete,Yes,NA,Yes,Yes,Yes,Other repo/database,Yes,Yes,CC BY,Yes,Yes,Yes,notebook,R,Yes,10,10,Yes,Not an R package,NA,NA,Canada,NA,143
39,10.1002/2688-8319.12156,2022,Ecological Solutions and Evidence,Research Article,Yes,Yes,"Data available from the Dryad Digital Repository: https://doi.org/10.5061/dryad.fj6q573xg (Jarnemo et al., 2022).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv;.doc(x),Yes,9,Complete,Yes,All analyses were carried out in R (version 4.0.0).,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sweden,NA,91
4201,10.1111/1365-2656.13478,2021,Journal of Animal Ecology,Research Article,Yes,Yes,All data are deposited at https://cicese.repositorioinstitucional.mx/jspui/handle/1007/3374.,Yes,Other repo/database,No,Yes,CC BY,Yes,Yes,.csv/.tsv,Yes,2,Complete,Yes,"Isotopic niche analysis was carried out with the SIBER package (Jackson et al., 2011) in R (R Core Team, 2020). ... The models were implemented in a Bayesian framework with JAGS (Plummer, 2017). After preparing the data in R, we called the jags function from R with the R2jags package (Su & Yajima, 2020; Appendix 1).",Yes,No,Yes,Supplementary materials,No,No,NA,No,Yes,Yes,.doc(x),R,No,NA,8,No,Not an R package,NA,NA,Mexico;United States of America,NA,84
6152,10.1111/1365-2745.12872,2017,Journal of Ecology,Research Article,Yes,Yes,"Data are deposited in the Dryad Digital Repository https://doi-org.ezproxy.scu.edu.au/10.5061/dryad.90d2g (Krab et al., 2017).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv,Quasi-README,8,Complete,Yes,"All statistical analyses were carried out using the statistical software r (R Development Core Team, version 3.2.3) and Rstudio (RStudio 0.98.1102) with additional packages lmerTest 2.0-11 (function lmer for the linear mixed models and difflsmeans for the post hoc tests) and sciplot 1.1-0 and ggplot2 for graphical illustrations.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sweden,NA,132
1178,10.1111/1365-2745.14045,2022,Journal of Ecology,Research Article,Yes,Yes,"Tree ring data are publicly available under https://www.ncei.noaa.gov/access/paleo-search/study/25570 (Zhao et al., 2019). R code to reproduce the a posteriori test can be accessed under https://doi.org/10.6084/m9.figshare.21493563.v1 (Klesse et al., 2022).",Yes,Other repo/database,Yes,Yes,Other,Yes,Yes,.rwl,Yes,10,Complete,Yes,NA,Yes,Yes,Yes,Figshare,Yes,NA,CC BY,No,Yes,Yes,native source code,R,Yes,2,8,No,Not an R package,NA,Code appears to have been extracted from a package and put into a single script.,Switzerland,NA,43
3375,10.1111/1365-2435.13017,2017,Functional Ecology,Research Article,Yes,Yes,"Data are deposited in the Dryad Digital Repository https://doi.org/10.5061/dryad.11d82 (Wubs & Bezemer, 2017).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),Unsure,5,Fair,Yes,"All analyses were conducted in r v. 3.3.0 (R Core Team, 2016),",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Netherlands (Kingdom of the),NA,74
1853,10.1111/1365-2656.13310,2020,Journal of Animal Ecology,Research Article,Yes,Yes,"Data available from the Dryad Digital Repository https://doi.org/10.5061/dryad.mkkwh70x0 (Prior, Meadley-Dunphy, & Frederickson, 2020).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),Yes,NA,Complete,Yes,"Analyses were conducted in R version 3.3.3 (2017), using packages devtools, vegan, mass, multcomp and ggbiplot2 (Hothorn et al., 2019; Oksanen et al., 2019; Ripley et al., 2019; Wickham, Hester, & Change, 2019).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Canada;United States of America,NA,105
1442,10.1111/1365-2656.13777,2022,Journal of Animal Ecology,Research Article,Yes,No,"This paper does not use empirical data. R scripts are available at Zenodo https://doi.org/10.5281/zenodo.6821917 (Guariento et al., 2022) to fully reproduce the results presented in the paper.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Zenodo,Yes,Yes,Other,No,Yes,Yes,native source code,R,Yes,1,2,No,Not an R package,NA,NA,Brazil,NA,75
1122,10.1111/1365-2656.13237,2020,Journal of Animal Ecology,Research Article,Yes,Yes,"Data from this study have been archived in the Dryad Digital Repository: https://doi.org/10.5061/dryad.70rxwdbtv (Bodey et al., 2020).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv,Quasi-README,1,Complete,Yes,"All statistical analyses were conducted in r 3.3.1 (R Core Team, 2017).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,Part of the data used in this paper was already published by the same authors in another paper in 2019.  https://doi.org/10.5061/dryad.j4k3t6f,37
1642,10.1111/1365-2435.14194,2022,Functional Ecology,Research Article,Yes,Yes,"The raw sequences were submitted to the National Center forBiotechnology Information (NCBI) with access No. PRJNA780219(Zhang et al., 2022). https://www.ncbi.nlm.nih.gov/bioproject/PRJNA 780219",Yes,Other repo/database,No,No,NA,Yes,Needs specific software or too large,.sql(ite),No,NA,Complete,Yes,"We calculated and compared the indicator val -ues (IndVal) among the four forest areas and among the soil layerswith the multipath function in the indicspecies package (Miquel DeCaceres, 2016).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,China,NA,112
1026,10.1111/1365-2435.14670,2024,Functional Ecology,Research Article,Yes,Yes,"Data to support the findings for this study and the metabolomics data produced are available from the Swedish National Data repository https://doi.org/10.5878/kr3s-6v85 (Riggi et al., 2024).",Yes,Other repo/database,NA,Yes,CC0,Yes,Yes,.csv/.tsv,Yes,10,Complete,Yes,All analyses were done in R (version 4.2.1).,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Netherlands (Kingdom of the);Sweden,NA,127
103,10.1111/1365-2656.14198,2024,Journal of Animal Ecology,Research Article,Yes,Yes,"All data and code needed to replicate the simulations are openly available in the DRYAD repository https://doi.org/10.5061/dryad.zcrjdfnm4 (Bartra-Cabré et al., 2024).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.txt;.xls(x),Yes,9,Complete,Yes,NA,Yes,Yes,Yes,Dryad,Yes,Yes,CC0,No,Yes,Yes,native source code,R,Yes,10,10,No,Not an R package,NA,NA,Norway,NA,9
781,10.1111/1365-2664.13166,2018,Journal of Applied Ecology,Research Article,Yes,Yes,"Data available via the Dryad Digital Repository https://doi.org/10.5061/dryad.ts80c92 (Chang et al., 2018).

(note: there is no ""Open Research"" section, perhaps because it is an older paper, but this is listed where that would be)",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),No,NA,Complete,No,They used SPSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,China,NA,134
7,10.1002/pan3.10579,2024,People and Nature,Research Article,Yes,Yes,"Data and results of this study are available via the Dryad Digital Repository https://doi.org/10.5061/dryad.3hg0054 (Macchi et al., 2019).",Yes,Zenodo,Yes,Yes,CC BY,Yes,Yes,.xls(x),Yes,10,Complete,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Germany,NA,59
306,10.1111/1365-2656.12835,2018,Journal of Animal Ecology,Research Article,Yes,Yes,"Data available from the Dryad Digital Repository: https://doi.org/10.5061/dryad.mg42jj1 (Chen et al., 2018).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),No,NA,Complete,Yes,"Data from the two individual plants in each replicate that had been assigned to the same treatment combination were first averaged and then analysed using general linear mixed models (procedure MIXED in SAS 9.2, SAS Inc., Cary, NC).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Netherlands (Kingdom of the),NA,78
1700,10.1111/1365-2745.12896,2017,Journal of Ecology,Research Article,Yes,Yes,"Data deposited in the Dryad Digital Repository: https://doi.org/10.5061/dryad.rt280 (Żywiec et al., 2017).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),No,NA,Low,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Poland;Portugal,"No code was used. All spatial point pattern analyses were conducted with Programita software (Wiegand & Moloney, 2014) available at http://programita.org/. Besides, the Dryad-stored data only comprised one xls data with three columns that seem to be part of the results.",65
7124,10.1111/1365-2745.13146,2019,Journal of Ecology,Research Article,Yes,Yes,"The data used in this study are archived in the Dryad Digital Repository: https://doi.org/10.5061/dryad.863c8sk (Iler, 2019), and the transition matrices in this study are archived in the Compadre Database (http://www.compadre-db.org).",Yes,Dryad;Other repo/database,Yes,Yes,CC0,Yes,Yes,.csv/.tsv;.txt,Yes,6,High,Yes,"All models were fit in a hierarchical Bayesian framework in Stan using R package 'RStan' (Stan Development Team, 2017).; We ran four 5,000-iteration Markov Chain Monte Carlo simulations, discarding the initial 1,000 iterations, which was sufficient to reach convergence for the vital rate parameters.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America,NA,87
373,10.1111/1365-2435.14289,2023,Functional Ecology,Research Article,Yes,Yes,"The raw data supporting the results of this study are available at the Dryad Digital Repository https://doi.org/10.5061/dryad.1vhhmgqxb (Alon et al., 2023).",Yes,Dryad,Yes,No,CC0,Yes,Yes,.csv/.tsv;.xls(x),Yes,10,Complete,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Israel,NA,88
1321,10.1111/1365-2745.13558,2020,Journal of Ecology,Research Article,Yes,Yes,"Data available from the Dryad Digital Repository https://doi.org/10.5061/dryad.jdfn2z391 (Ma et al., 2020).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv,No,NA,High,Yes,"All data analyses were conducted with R software (R Development Core Team, 2018). LMMs and GAMs were conducted using lme4 (Bates et al., 2014) and mgcv (Wood, 2001) packages.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,China,Ability to assess whether data was adequate for re-analysis was difficult due to the lack of a README and inconsistent terms used between the paper and data.,103
1061,10.1111/1365-2745.13057,2018,Journal of Ecology,Research Article,Yes,Yes,"Data available from the Dryad Digital Repository: https://doi.org/10.5061/dryad.fm23dq6 (Meineke, 2018).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),Yes,1,Fair,Yes,"We then tested for an effect of collector on herbivory using a generalized linear model with a logit link function in the lme4 package (Bates, Mächler, Bolker, & Walker, 2015) in R (R Core Team, 2016)...
We used generalized linear models with logit link functions in the lme4 package (Bates et al., 2015) in R (R Core Team, 2016) and proportion of grid cells with chewing damage as the response.
We used ANOVAs to compare the regression coefficients from the GLMs for insect herbivores grouped by host plant.
We modelled the presence of each herbivore species (hereafter “occupancy models”) using generalized linear models (GLMs)...",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America,"The more basic analyses seem replicable with the given data (that collected new from the herbarium specified) - the remaining data used is from other sources and aren't always provided, hampering reproducibility. No code is provided for the analyses, so it is not really feasible to reproduce most of the downstream analyses",68
29,10.1111/1365-2745.13644,2021,Journal of Ecology,Research Article,Yes,Yes,"Data are deposited in the Dryad Digital Repository https://doi.org/10.5061/dryad.34tmpg4jr (Medina-Vega, Bongers, Poorter, et al., 2021).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),Yes,4,Complete,Yes,"All analyseswere done in R version 3.6.3 (R Core Team, 2020) unless stated oth-erwise.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Netherlands (Kingdom of the);Panama,NA,143
1179,10.1111/1365-2656.13033,2019,Journal of Animal Ecology,Research Article,Yes,Yes,"Data are available from the Dryad Digital Repository: https://doi.org/10.5061/dryad.7rn6dd8 (Cecil, Spasojevic, & Cushman, 2019).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),Yes,4,Complete,Yes,"Vegan package in R (Oksanen et al., 2013; R Core Team, 2016)",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43
64,10.1111/1365-2656.13600,2021,Journal of Animal Ecology,Research Article,Yes,Yes,"Data available from the Dryad Digital Repository https://doi.org/10.5061/dryad.mw6m905xh (Coomes et al., 2021).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv;.txt,Yes,9,High,Yes,"Data were analysed in R version 4.1.0 (R Core Team, 2021).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ireland,NA,20
2273,10.1111/2041-210X.14054,2023,Methods in Ecology and Evolution,Research Article,Yes,Yes,"All simulation results, data and code to reproduce the simulations and results of this paper are available at https://doi.org/10.5281/zenodo.7348035 (Brack, 2022). We also provide a website (https://ismaelvbrack.github.io/designNmix4droneSurveys) to simulate scenarios and see the results of this paper.",Yes,Zenodo,Yes,Yes,Other,Yes,Yes,.md;.rds,Yes,6,Complete,Yes,NA,Yes,Yes,Yes,"GitHub, Codeberg, Gitlab, or similar platform;Zenodo",Yes,Yes,MIT,No,Yes,Yes,native source code;.txt,R,Yes,8,10,No,Not an R package,NA,NA,Brazil,"The paper was a simulation study, so it was quite difficult to separate the code from the data. It would be good for someone to double check we made appropriate decisions.",139
1213,10.1002/2688-8319.12139,2022,Ecological Solutions and Evidence,Research Article,Yes,Yes,"Amphibian species occurrence used in this analysis was generated by Call of the Wetland Amphibian Monitoring Program led by Miistakis Institute, raw monitoring data can be downloaded at zenodo: https://doi.org/10.5281/zenodo.6251519 (Sanderson, 2022a). Amphibian modelling results can be downloaded at zenodo: https://doi.org/10.5281/zenodo.6233027 (Sanderson, 2022b). Datasets used in the analysis (Table S1 in the Supporting Information) are available on the City of Calgary open data portal: https://data.calgary.ca/ (City of Calgary, 2021). From the open data portal, we used land cover data (includes grasslands, forests, manicured grass, water bodies (including wetlands), and built-up areas: https://data.calgary.ca/Environment/Citywide-Land-Cover/as2i-6z3n, and major road network: https://data.calgary.ca/Transportation-Transit/Major-Road-Network/tqjs-vnhy.",Yes,Zenodo,Yes,NA,CC BY,Yes,Yes,.xls(x);.shp,Yes,7,Complete,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Canada,"they used a model and provided modelling outputs, but did not archive code",57
2040,10.1111/1365-2664.14167,2022,Journal of Applied Ecology,Research Article,Yes,Yes,"Data are available via the Dryad Digital Repository https://doi.org/10.5061/dryad.4tmpg4fc0 (López-Bedoya et al., 2022).",No,Dryad,"Yes, but DOI not found/incorrect",Unsure,CC0,NA,NA,NA,Unsure,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Colombia,NA,128
3260,10.1111/1365-2435.13128,2018,Functional Ecology,Research Article,Yes,Yes,"Data are available from the Dryad Digital Repository https://doi.
org/10.5061/dryad.pq1js52 (Reddon, Chouinard-Thuly, Leris, &
Reader, 2018).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),Quasi-README,NA,Complete,Yes,"All statistical analyses were performed in R version 3.2.2
(R Core Development Team, 2016), and graphs were produced in
ggplot2 (Wickham, 2009).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Canada,NA,71
2800,10.1111/1365-2435.13183,2018,Functional Ecology,Research Article,No,NA,"All data used have been obtained from cited, published articles. The model in its entirety is described in the supplementary information, and a simplified model is available at https://doi.org/10.5281/zenodo.1296303 (Lilley, Anttila & Ruokolainen, 2018).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Zenodo,Yes,Yes,CC BY,No,Yes,Yes,native source code,Julia,Yes,1,1,Yes,Unable to check,NA,NA,NA,"Lack of transparency in the use of their model, data required to collect and the code to make the model used in the paper",28
236,10.1111/1365-2664.14382,2023,Journal of Applied Ecology,Research Article,Yes,Yes,"Data are available from the Dryad Digital Repository https://doi.org/10.5061/dryad.rn8pk0pgq (Hahn & Cammarano, 2023).",Yes,Dryad;Supplementary materials,Yes,Yes,CC0,Yes,Yes,.csv/.tsv;.doc(x),Yes,7,Complete,Yes,We constructed a linear mixed effect model using metafor::rma.mv in R.,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America,NA,123
8111,10.1111/1365-2435.13026,2018,Functional Ecology,Research Article,Yes,Yes,"Data deposited in the Dryad Digital Repository https://doi.org/10.5061/dryad.8cq43 (Reddin, Bothwell, O'Connor, & Harrod, 2017).",Yes,Dryad,Yes,No,CC0,Yes,Yes,.csv/.tsv,No,NA,Low,Yes,NA,Yes,No,Yes,Dryad,Yes,No,NA,No,Yes,Yes,native source code,R,No,NA,3,No,Not an R package,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,101
1027,10.1111/1365-2745.13973,2022,Journal of Ecology,Research Article,Yes,Yes,"DATA AVAILABILITY STATEMENT
Datasets analysed in this study are available from the Figshare https://doi.org/10.6084/m9.figshare.20317365.v1 (Jia et al., 2022).

",Yes,Figshare,Yes,Yes,CC BY,Yes,Yes,.xls(x),Yes,10,Complete,Yes,"All analyses were performed in R 4.1.2 (R Core Team, 2021).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,China,NA,127
36,10.1111/1365-2435.13125,2018,Functional Ecology,Research Article,Yes,Yes,"Data available from the Dryad Digital Repository: https://doi.org/10.5061/dryad.v0vg627 (Salin et al., 2018).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),No,NA,Complete,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,Analyses done in SPSS so no code.,32
1877,10.1111/1365-2656.12671,2017,Journal of Animal Ecology,Research Article,Yes,Yes,Data available from the Dryad Digital Repository https://doi.org/10.5061/dryad.1v244 (Gonçalves et al. 2017).,Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.doc(x),Unsure,10,Complete,Yes,"All statistical analyses were conducted with the statistical platform R (R Core Team, 2014).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brazil,NA,105
5801,10.1111/1365-2664.14756,2024,Journal of Applied Ecology,Research Article,Yes,Yes,"Data available from the Dryad Digital Repository https://doi.org/10.5061/dryad.12jm63z6j (Hiddink & Davies, 2024).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv,Yes,10,Complete,Yes,"The parameters describing the non-linear curves were estimated using Bayesian statistics using the Rethinking package in R (McElreath, 2018).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,104
8087,10.1111/1365-2664.13149,2018,Journal of Applied Ecology,Research Article,Yes,Yes,"Data available from the Dryad Digital Repository https://doi.org/10.5061/dryad.4jb32s2 (Moreira, Martins, Catry, & D'Amico, 2018).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),Yes,8,Complete,Yes,"All analyses were performed in the r statistical environment (R Core Team, 2016).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Portugal,NA,80
