Timestamp,1. Paper number,2. DOI of paper (please copy paste to avoid errors),3. Year of publication (on spreadsheet),4. Journal  (on spreadsheet),5. Article type  (on spreadsheet),6. Please paste the text of the Data Availability statement here,7. Does the paper have data?,1. Country of corresponding author  (on spreadsheet),"2. Country of first author. Use their main address on the paper. There may be more than one. We mean the address that is next to their name on the paper, NOT any “current address” that may be added for people who have recently moved institutions.","3. What georegion(s) were any novel data used in the paper collected from? Select all that apply. NOTE THIS MEANS DATA THAT WERE PHYSICALLY COLLECTED IN THESE COUNTRIES, DO NOT INCLUDE THINGS WHERE THE AUTHORS USED A DATASET FROM FRANCE BUT DID NOT ACTUALLY GO TO FRANCE TO COLLECT DATA :)",4. Are any authors (use their main address on the paper) based in the georegion the data were collected from?  Also check the Acknowledgments to see if data labourers from the georegion who are not authors are mentioned there instead.,Any comments about data equity that these Qs don't cover?,1. Are the data mentioned in the Data Availability statement?,2. Are you able to find the data using the link/instructions in the Data Availability statement?,3. Where are the data archived?,4. Does the dataset have a DOI?,5. Can you download the data?,6. Can you open the data?,7. What format are the data in?,8. Does the data have a README/metadata?,9. How useful is the README/metadata? Read the notes in the protocol to help with decisions here. SKIP THIS Q IF NO README EXISTS.,10. How complete is the archived data?,11. Does the data have a license?,"12. If yes, what license?",13. Has the data been cited (excluding the original paper it was archived for)? You can find this information on the Dryad and Figshare landing pages for the dataset on the right hand side. For other repositories it varies. If you can't find out easily just pick Unsure.,"14. If yes, how many times?  Enter number or Unclear",15. Has the data been cited by someone other than the original authors? You can find this by clicking on the citations and looking at the papers that cite the data.,"16. If yes, how many times? (excluding the original paper it was archived for) Enter number or Unclear","17. For any paper(s) citing the data, what georegions are on the authors main addresses (i.e. when doing the work)? Please select all relevant options.",0.1 Does the paper use code?,"0.2 If the paper uses code, and this is NOT archived (i.e. they mention using R or Python but don't provide any scripts) please copy-paste the text from the paper that alerted you to them using code...",0.3 Does the paper have archived code?,1. Is the code archiving described in the Data Availability (or equivalent) statement?,*Please paste the section of the text that refers to the archived code if this is NOT part of the Data Availability Statement*.,2. Are you able to find the code using the link/instructions in the Data Availability (or equivalent) statement?,3. Where are the code archived?,4. Does the code have a DOI?,5. Can you download the code?,6. Can you open the code?,7. What language is the code written in?,8. What format is the code in?,9. Does the code have a README?,10. How useful is the README? See the protocol for help with making decisions about this. SKIP THIS Q IF NO README EXISTS.,11. How well is the code annotated? See the protocol for help with making decisions about this.,12. Does the code have a separate vignette with examples of how the code should be used?,"13. If the code is an R Package, and it was previously available on CRAN/Bioconductor (as stated in the Data Availability statement), is it still available? Check this by trying to install it on the most recent version of R. If you don't know how to do this/can't do this choose ""Unable to check""","14. If the code is a package in another language (e.g. Python) published on PyPI please put the name of the package here and where it has been deposited we will see if it is still available. If you know how to look this up yourself, please do and mention whether it is still available here (Yes/No)",15. Does the code have a CITATION file?,16. Does the code have a license?,"17. If yes, what license?",18. APPLICATION papers only. How many times has the paper been cited? You can find this on the landing page of the paper.,19. Has the code been cited (excluding the original paper it was archived for)? Code = the archived code (not the paper or package).,"20. If yes, how many times? (excluding the original paper it was archived for) Enter number or Unclear","21. Do you have any other comments about the code? For example for those familiar with these processes, does the code use unit test? Doe it have continuous integration? Does it use docker/other containers?",21. Has the code been cited by someone other than the original authors?,"22. If yes, how many times? Enter number or Unclear",1. Did you have any issues recording data for this paper? If yes we will go back and check it for you later.,2. Any other comments about this paper?,2. What date did you do this? (YYYY-MM-DD),...62,...63,...64,...65,...66,...67,recorder_ID
2025/09/29 12:59:53 pm GMT,104,https://doi.org/10.1111/1365-2664.13904,2021,Journal of Applied Ecology,Research Article,"Data available via the Dryad Digital Repository https://doi.org/10.5061/dryad.83bk3j9rf (Li et al., 2021).",Yes,United States of America,United States of America,Australia;France;New Zealand;United States of America,Authors are from SOME regions data was collected from but not all,NA,Yes,No,Dryad,Yes but DOI not found/incorrect,No,No,NA,Unsure,NA,Unsure,Unsure,NA,Unsure,NA,Unclear,NA,NA,Unsure,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Broken DOI link,2025-09-29,NA,NA,NA,NA,NA,NA,9
2025/09/29 1:01:06 pm GMT,7342,10.1111/1365-2656.13671,2022,Journal of Animal Ecology,Research Article,"Data are available from Auburn University Data Repository (AUrora) at: https://doi.org/10.35099/aurora-91 (Fargevieille et al., 2022).",Yes,United States of America,United States of America,United States of America,Yes - First author;Yes - Last author;Yes - One or more middle authors,NA,Yes,Yes,Institutional repository,Yes,Yes,Yes,.txt,Yes,6,Unsure,Unsure,NA,Unsure,NA,NA,NA,NA,Yes,"We used two linear mixed models (package lme4 in r; Bates et al., 2015; R Core Team, 2020) to test our predictions of decreased fecundity and population growth rate in populations with a small propagule size.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2025-09-29,NA,NA,NA,NA,NA,NA,2
2025/09/29 1:01:23 pm GMT,178,10.1111/1365-2664.14415,2023,Journal of Applied Ecology,Research Article,"Environmental and ecological features are derived from publicly available sources, including the flying fox monitoring project (https://www.data.qld.gov.au/dataset/flying-fox-monitoring-program), land cover (http://pid.geoscience.gov.au/dataset/ga/71071), human population density (landscan.ornl.gov) and gridded weather and vegetation quality (http://www.bom.gov.au/climate/averages/climatology/gridded-data-info/gridded_datasets_summary.shtml). The list of spillover events is available in Cornell University eCommons Digital Repository (https://doi.org/10.7298/3dbp-t721). The exact locations and analysis pipeline cannot be made public because of privacy issues relevant to infected properties.",Yes,United States of America,United States of America,NO DATA COLLECTED,NA,NA,Yes,Yes,Institutional repository;Government databases.,Yes,"Some data available, other data behind paywall, some data under embargo.",Yes,.csv/.tsv;.xls(x),Yes,7,The main analyses of the paper cannot be repeated with the data that has been archived.,Yes,CC0,Unsure,NA,Unclear,NA,NA,Yes,"We fit the models by 10-fold cross-validation implemented with gbm.step in the package dismo (Hijmans et al., 2020) in R (R Core Team, 2021).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2025-09-29,NA,NA,NA,NA,NA,NA,40
2025/09/29 1:01:54 pm GMT,6028,http://doi.org/10.1111/1365-2745.12930,2018,Journal of Ecology,Research Article,"Data associated with this paper have been deposited in the Environmental Climate Data Sweden depository https://ecds.se/dataset/species-distribution-modelling-data-for-23-dead-wood-inhabiting-bryophytes (File Identifier: df949937-d212-417e-9622-50419ca28907) (Löbel, 2018).",Yes,Sweden,Germany;Sweden,"""We thank the many bryologists contributing species’ observation data"". Authors do not mention who are the bryologists generating the data nor where they're from.",Yes - First author;Yes - Last author;Yes - One or more middle authors;Data labourers are in the Acknowledgements but it is unclear where they are based,NA,Yes,Yes,researchdata.se,Yes,Yes,Yes,.txt,No,NA,All the data necessary to reproduce all analyses and results are archived.,Unsure,NA,Unsure,NA,Unclear,NA,UNCLEAR,Yes,"Models were fitted using r version 3.1.2 (R Core Team, 2014).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2025/09/29,NA,NA,NA,NA,NA,NA,36
2025/09/29 1:02:34 pm GMT,1501,10.1111/2041-210X.14366,2024,Methods in Ecology and Evolution,Research Article,"Data are available via the Dryad Digital Repository https://doi.org/10.5061/dryad.ffbg79d38 (Gómez-Martínez & Lázaro, 2024). Code available via Zenodo https://doi.org/10.5281/zenodo.11221946 (Gómez-Martínez, 2024a) and https://doi.org/10.5281/zenodo.11221951 (Gómez-Martínez, 2024b).",Yes,Spain,Spain,NO DATA COLLECTED,NA,"The data was originally collected for papers by the same authors, in the georegion the authors are from",Yes,Yes,Dryad,Yes,Yes,Yes,.xls(x),Yes,8,All the data necessary to reproduce all analyses and results are archived.,Yes,CC0,No,NA,No,NA,NA,Yes,NA,Yes,Yes,NA,Yes,"GitHub, Codeberg, Gitlab, or similar platform;Zenodo",Yes,Yes,Yes,"R (including Rmarkdown, Quarto)","native source code (e.g. .R, .py, .jl, etc)",Yes,1,5,No,Not an R package,NA,No,Yes,CCA 4.0 International,NA,No,NA,"Some files comprehensively and usefully commented, others completely blank",No,NA,No,"Did not attempt to run the code with the provided data files, it is possible some are missing/incorrectly formatted. README gives no indication of run order for the disparate scripts, and I am not familiar with the analysis or discipline in order to identify that myself.",2025-09-29,NA,NA,NA,NA,NA,NA,126
2025/09/29 1:02:55 pm GMT,1131,10.1111/1365-2745.13873,2022,Journal of Ecology,Research Article,"The data are stored as the China Plant Trait Database (Wang et al., 2018) in PANGAEA https://doi.pangaea.de/10.1594/PANGAEA.871819 (Wang et al., 2017).",Yes,China,China,NO DATA COLLECTED,Yes - First author;Yes - Last author;Yes - One or more middle authors,NA,Yes,Yes,PANGAEA,Yes,Yes,Yes,.csv/.tsv;Microsoft Access Database (accdb),Yes,1,The main analyses of the paper cannot be repeated with the data that has been archived.,Yes,CC BY,Unsure,NA,Unclear,NA,NA,The paper performs statistical analysis but it does not state which statistical software is used (so it is not possible to know if it is code-based or not),NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,1981-07-16,NA,NA,NA,NA,NA,NA,35
2025/09/29 1:03:11 pm GMT,71,https://doi.org/10.1002/pan3.10338,2022,People and Nature,Research Article,Data are available on the Dryad Digital Repository at https://doi.org/10.5061/dryad.tb2rbp02z.,Yes,Ireland,Ireland,Ireland,Yes - First author;Yes - Last author;Yes - One or more middle authors;Yes - Data labourers from the georegion are in the Acknowledgements;Data labourers are in the Acknowledgements but it is unclear where they are based,NA,Yes,Yes,Dryad,Yes,Yes,Yes,.csv/.tsv,Yes,6,All the data necessary to reproduce all analyses and results are archived.,Yes,CC0,No,NA,No,NA,NA,Yes,"Data analyses were performed in R 4.0.5 (R Core Team, 2021).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2025-09-29,NA,NA,NA,NA,NA,NA,20
2025/09/29 1:03:39 pm GMT,782,https://doi.org/10.1111/2041-210X.14002,2022,Methods in Ecology and Evolution,Research Article,"All the data generated in this manuscript were created using code written in R. The R scripts that generated this data (Cameron et al., 2022) are available at the url https://doi.org/10.5281/zenodo.7115671.",Yes,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,NO DATA COLLECTED,Yes - First author,NA,Yes,Yes,Zenodo,Yes,Yes,No,.txt,Yes,3,"there are R files associated with the study, but the one file labeled data is empty when it is opened.","Just says ""Other (Open)""",NA,No,NA,No,NA,NA,Yes,NA,Yes,Yes,NA,Yes,Zenodo,Yes,Yes,Yes,"R (including Rmarkdown, Quarto)","native source code (e.g. .R, .py, .jl, etc)",Yes,4,3,No,Not an R package,NA,No,Unclear,Unclear,NA,No,NA,NA,No,NA,No,NA,2025-09-29,NA,NA,NA,NA,NA,NA,134
2025/09/29 1:04:54 pm GMT,1028,10.1111/1365-2745.14398,2024,Journal of Ecology,Research Article,"DATA AVAILABILITY STATEMENT
The data supporting the findings of this study are available at https://doi.org/10.6084/m9.figshare.26047738.v1 (He, 2024). The sequence data have been deposited in the NCBI with the accession number PRJNA976494.",Yes,China,China,China,Yes - First author;Yes - One or more middle authors,NA,Yes,Yes,Figshare,Yes,Yes,Yes,.xls(x),No,NA,Some analyses can be repeated but not all (~50% of analyses can be repeated).,Yes,CC BY,No,NA,No,NA,NA,Yes,"we performed linear mixed models to test the dependence of these variables on ‘field type’ (invaded vs. non-invaded fields), latitude (a unique value for each site) and their interaction using the lme4 package (Bates et al., 2015) in R (version 4.4.2)",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2025-09-29,NA,NA,NA,NA,NA,NA,127
2025/09/29 1:05:04 pm GMT,8103,10.1111/1365-2656.13160,2020,Journal of Animal Ecology,Research Article,"Data are available in Dryad Digital Repository: https://doi.org/10.5061/dryad.2rbnzs7hz (Gilsenan, Valcu, & Kempenaers, 2019).",Yes,Germany,Germany,Germany,Yes - First author;Yes - Last author;Yes - One or more middle authors;Yes - Data labourers from the georegion are in the Acknowledgements,NA,Yes,Yes,Dryad,Yes,Yes,Yes,.RDS,Yes,3,All the data necessary to reproduce all analyses and results are archived.,Yes,CC0,No,NA,No,NA,NA,Yes,"We used the free software r (version 3.4.1 and later; R Core
Team, 2017) for statistical analyses.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,20250929,NA,NA,NA,NA,NA,NA,122
2025/09/29 1:05:24 pm GMT,2041,10.1111/1365-2745.14083,2023,Journal of Ecology,Research Article,"Data used for the statistical analyses are archived at Zenodo https://doi.org/10.5281/zenodo.7580640 (Ahmad et al., 2023).",Yes,India,India,India,Yes - First author;Yes - Last author;Yes - One or more middle authors;Yes - Data labourers from the georegion are in the Acknowledgements,NA,Yes,Yes,Zenodo,Yes,Yes,Yes,.csv/.tsv;.xls(x),No,NA,NA,Yes,CC BY,Unsure,Unclear,Unclear,Unclear,NA,Yes,"All statistical analyses were performed in R version 4.1.0 (R Core Team, 2022).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2025-09-29,NA,NA,NA,NA,NA,NA,128
2025/09/29 1:05:25 pm GMT,7914,http://doi.org/10.1111/1365-2664.13241,2018,Journal of Applied Ecology,Research Article,"Data available from the Dryad Digital Repository https://doi.org/10.5061/dryad.nn2j150 (Naujokaitis-Lewis, Pomara, & Zuckerberg, 2018).

Note: Eastern Massasauga Rattlesnake population status and location data are sensitive and have not been archived.",Yes,Canada,Canada,Datasets were taken from other research papers and NGOs,No authors are based in the georegion,NA,Yes,Yes,Dryad,Yes,Yes,Yes,.txt;.xls(x);,Yes,5,Some analyses can be repeated but not all (~50% of analyses can be repeated).,Yes,CC0,Yes,1,No,NA,NA,Yes,NA,Yes,Described in the archived data in Dyrad,"Model selection, model-averaging, and assessment of variable importance were performed using the MuMIn package (Barton, 2013) using R v.3.2.0 (R Core Team, 2015).  Using RAMAS GIS software v6.0 (Akçakaya & Root, 2013), temporal trends in adult and senescent adult survival rates were specified as time series of relative changes in survival estimates. Further details including parameterization of the climate-driven PVA model and model validation data and methods are in the Supplementary Information.  We identified important modelled interactions by quantifying the strength of pairwise interactions while keeping nonfocal variables at their mean values. Implementation of the BRT model was performed in R v.3.3.0 (R Core Team, 2015) using the gbm package (Greg Ridgeway with contributions from others , 2015).",Yes,Dryad,Yes,Yes,Maybe if I had the right software,"R (including Rmarkdown, Quarto)","native source code (e.g. .R, .py, .jl, etc)",No,NA,5,No,No,NA,No,Unclear,NA,NA,No,NA,NA,No,NA,No,NA,2025-09-29,NA,NA,NA,NA,NA,NA,89
2025/09/29 1:05:31 pm GMT,1834,https://doi.org/10.1111/1365-2664.14278,2022,Journal of Applied Ecology,Research Article,"The data underlying our results in Figure 4 have been made available in the Supporting Information file via the Dryad Digital Depository https://doi.org/10.5061/dryad.7m0cfxpxr (Løvschal & Damgaard, 2022).",Yes,Denmark,Denmark,NA,NA,NA,Yes,Yes,Dryad,Yes,Yes,Yes,.xls(x),Yes,2,Most data are provided with only small omissions (~75% of analyses can be repeated).,Yes,CC0,Yes,2,No,NA,Denmark,Yes,"""The ordinal resilience classifications were coded with integer values
from one (low) to four (high) and analysed using linear ordinal regres-
sion models with the R procedure polr"" and ""Using the selected model and the R package...""",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2025/09/29,NA,NA,NA,NA,NA,NA,22
2025/09/29 1:06:48 pm GMT,7125,10.1111/1365-2656.12956,2019,Journal of Animal Ecology,Research Article,"Data associated with this manuscript are available from the Dryad Digital Repository: https://doi.org/10.5061/dryad.55c84q7 (Cruz-Font, Shuter, Blanchfield, Minns, & Rennie, 2018).",Yes,Canada,Canada,Canada,Yes - First author;Yes - Last author;Yes - One or more middle authors;Yes - Data labourers from the georegion are in the Acknowledgements,NA,Yes,Yes,Dryad,Yes,Yes,Yes,.csv/.tsv,Yes,8,Most data are provided with only small omissions (~75% of analyses can be repeated).,Yes,CC0,No,N/A,No,N/A,NA,Yes,"This model was fitted using the “lme4” package (Bates, Maechler, Bolker, & Walker, 2015) within the R environment (R Core Team 2017).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2025-09-29,NA,NA,NA,NA,NA,NA,87
2025/09/29 1:07:43 pm GMT,2343,10.1111/1365-2656.13447,2021,Journal of Animal Ecology,Research Article,"The Gulf of Riga metaweb food web, that is, the pairwise trophic interaction list including references, as well as body mass of each taxon including references, is available in the Dryad Digital Repository: https://doi.org/10.5061/dryad.6t1g1jwwn (Kortsch et al., 2021). An R script tutorial to perform the food web analyses on the metaweb is available through GitHub: https://rfrelat.github.io/BalticFoodWeb.html via: https://doi.org/10.5281/zenodo.3902039 (Kortsch et al., 2020).",Yes,Finland,Finland,NO DATA COLLECTED,NA,NA,Yes,Yes,Dryad,Yes,Yes,Yes,.xls(x),Yes,2,All the data necessary to reproduce all analyses and results are archived.,Yes,CC0,Yes,1,No,NA,Denmark;Estonia;Finland;Latvia;Netherlands (Kingdom of the),Yes,NA,Yes,Yes,NA,Yes,"GitHub, Codeberg, Gitlab, or similar platform;Zenodo",Yes,Yes,Yes,"R (including Rmarkdown, Quarto);HTML","native source code (e.g. .R, .py, .jl, etc);markdown / notebook containing code (e.g. .Rmd, .qmd, etc);.md",Yes,2,8,Yes,Unable to check,NA,No,Yes,CC BY-SA,NA,No,NA,NA,No,NA,No,NA,2025-09-29,NA,NA,NA,NA,NA,NA,51
2025/09/29 1:08:10 pm GMT,307,http://doi.org/10.1111/1365-2656.14015,2023,Journal of Animal Ecology,Research Article,"Data and code available from the Open Science Framework https://doi.org/10.17605/OSF.IO/PNJFW (Beck et al., 2023).",Yes,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,Yes - First author;Yes - Last author;Yes - One or more middle authors,NA,Yes,Yes,OSF (https://osf.io/),Yes,Yes,Yes,.RData,No,NA,All the data necessary to reproduce all analyses and results are archived.,No,NA,No,NA,NA,NA,NA,Yes,NA,Yes,Yes,NA,Yes,OSF,Yes,Yes,Yes,"R (including Rmarkdown, Quarto)","native source code (e.g. .R, .py, .jl, etc)",No,NA,4,No,Not an R package,NA,No,No,NA,NA,No,NA,NA,No,NA,No,NA,2025-09-29,NA,NA,NA,NA,NA,NA,78
2025/09/29 1:08:42 pm GMT,1939,10.1111/1365-2745.13492,2020,Journal of Ecology,Research Article,"Data available from the Dryad Digital Repository https://doi.org/10.5061/dryad.sbcc2fr45 (Calixto, Novaes, et al., 2020).",Yes,Brazil,Brazil,Brazil,Yes - One or more middle authors;Yes - Data labourers from the georegion are in the Acknowledgements,NA,Yes,Yes,Dryad,Yes,Yes,Yes,.xls(x),No,NA,All the data necessary to reproduce all analyses and results are archived.,Yes,CC0,No,NA,No,NA,NA,Yes,"We performed all statistical analyses in R software 4.0.0 (R Core Team, 2020). Packages used are detailed in each analysis below.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2025-09-29,NA,NA,NA,NA,NA,NA,105
2025/09/29 1:08:46 pm GMT,30,10.1111/2041-210X.13650,2021,Methods in Ecology and Evolution,Research Article,"The methodology to estimate the AOA has been implemented and published in the R package cast (Meyer, 2021a) which is available on CRAN. The simulation studies and all figures of this paper can be reproduced using the R-markdown scripts available from https://doi.org/10.5281/zenodo.4764404 (Meyer, 2021b; or use the developer version: https://github.com/HannaMeyer/MEE_AOA). This repository further includes more detailed figures on the methodology.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Yes,Yes,NA,Yes,Zenodo,Yes,Yes,Yes,"R (including Rmarkdown, Quarto)","native source code (e.g. .R, .py, .jl, etc);markdown / notebook containing code (e.g. .Rmd, .qmd, etc)",Yes,8,10,No,Yes,NA,Yes,Yes,GPL,NA,No,NA,NA,NA,NA,Yes,The package published in the paper is also separately published on CRAN.,2025-09-29,NA,NA,NA,NA,NA,NA,143
2025/09/29 1:09:11 pm GMT,3000,10.1111/1365-2664.14013,2021,Journal of Applied Ecology,Research Article,"DATA AVAILABILITY STATEMENT
Data available via Zenodo https://doi.org/10.5281/zenodo.3516971 (Hertzog et al., 2021).",Yes,NA,Belgium,Belgium,Yes - One or more middle authors,NA,Yes,Yes,Zenodo,Yes,Yes,Yes,.csv/.tsv,Yes,5,All the data necessary to reproduce all analyses and results are archived.,No,"It says the licence is ""Open""",No,NA,No,NA,NA,Yes,NA,Yes,The code files are contained within the same zip folder as the data,NA,Yes,Zenodo,Same DOI as the data file,Yes,Yes,"R (including Rmarkdown, Quarto)","native source code (e.g. .R, .py, .jl, etc)",Yes,1,6,No,No,NA,No,No,NA,NA,No,NA,NA,No,NA,No,NA,2025-09-29,NA,NA,NA,NA,NA,NA,10
2025/09/29 1:09:18 pm GMT,1444,10.1111/1365-2664.14399,2023,Journal of Applied Ecology,Research Article,"Data available from the Dryad Digital Repository: https://doi.org/10.5061/dryad.dv41ns238 (LeCroy et al., 2023).",Yes,United States of America,United States of America,United States of America,Yes - First author;Yes - Last author;Yes - One or more middle authors;Yes - Data labourers from the georegion are in the Acknowledgements;Data labourers are in the Acknowledgements but it is unclear where they are based,NA,Yes,Yes,Dryad,Yes,Yes,Yes,.csv/.tsv,Yes,6,Some analyses can be repeated but not all (~50% of analyses can be repeated).,Yes,CC0,No,NA,NA,NA,NA,Yes,All statistical analyses were conducted in R version 4.0.4.,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2025-09-29,NA,NA,NA,NA,NA,NA,75
2025/09/29 1:09:40 pm GMT,1180,https://doi.org/10.1111/1365-2745.12892,2017,Journal of Ecology,Research Article,"Data deposited in the Dryad Digital Repository http://datadryad.org/resource/doi:10.5061/dryad.bd124 (Boulanger, Taylor, Price, Cyr, Sainte-Marie, 2013).

All data and R codes are also available at the following web address: https://github.com/dcyr.",Yes,Canada,Canada,NO DATA COLLECTED,NA,NA,Yes,Yes,Dryad,Yes,Yes,Yes,.txt;.tiff -- all files (including .txt) are related to LANDIS,No,NA,Unsure,Yes,CC0,No,NA,No,NA,NA,Yes,NA,Yes,Yes,NA,No,"GitHub, Codeberg, Gitlab, or similar platform",No,Probably but can't figure out which code it is,Probably but can't figure out which code it is,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,The code link took us to the authors GitHub where it was impossible to determine which code related to this paper and therefore answer the code questions.,2025-09-25,NA,NA,NA,NA,NA,NA,43
2025/09/29 1:09:41 pm GMT,783,https://doi.org/10.1111/1365-2664.13838,2021,Journal of Applied Ecology,Research Article,"Data available from the Dryad Digital Repository https://doi.org/10.5061/dryad.jm63xsj93 (Westgate et al., 2021).",Yes,Australia,Australia,Australia,Yes - First author;Yes - Last author;Yes - One or more middle authors,NA,Yes,Yes,Dryad,Yes,Yes,Yes,.csv/.tsv,No,NA,Unsure,Yes,CC0,No,NA,No,NA,NA,Yes,"""We investigated trends in bird species occurrences using multivariate latent variable models (LVMs), as implemented in the r package boral (Hui, 2016).""",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2025-09-29,NA,NA,NA,NA,NA,NA,134
2025/09/29 1:09:47 pm GMT,NA,https://doi.org/10.1111/1365-2664.13538,2019,Journal of Applied Ecology,Research Article,"Data available via the Dryad Digital Repository https://doi.org/10.5061/dryad.n2z34tms5 (Soria et al., 2019).",Yes,Spain,Spain,Spain,Yes - First author;Yes - Last author;Yes - One or more middle authors;Yes - Data labourers from the georegion are in the Acknowledgements,NA,Yes,Yes,Dryad,Yes,Yes,NA,.txt;packed in a .rar file,Yes,5,All the data necessary to reproduce all analyses and results are archived.,Yes,CC0,Yes,1,Unclear,Unclear,NA,Yes,NA,Yes,No - but it is described in the Methods,"All analyses were conducted in R version 3.4.1 (R Core Team, 2015), using the packages “lme4” (Bates, Maechler, Bolker, & Walker, 2015), “MuMIn” (Barto'n, 2017) and “variancePartition” (Hoffman & Schadt, 2016). The code and functions used to run these analyses are available at Data Accessibility Statement.",Yes,Dryad,Yes,Yes,Yes,"R (including Rmarkdown, Quarto)","native source code (e.g. .R, .py, .jl, etc);packed in a .rar file",Yes,4,9,No,Not an R package,NA,Same citation as data,Yes,CC0;Same licence as data,NA,Yes,Unclear,NA,NA,NA,NA,NA,2025-09-29,NA,NA,NA,NA,NA,NA,26
2025/09/29 1:10:03 pm GMT,1193,10.1111/1365-2435.14678,2024,Functional Ecology,Research Article,"All data packages and R scripts used in this study are avail -able through the Environmental Data Initiative: https:// doi.org/ 10. 6073/ pasta/ 3aa17817f2 8596b 2823d 49247 4a8a409 (Hallmark, 2024)",Yes,United States of America,United States of America,United States of America,Yes - First author;Yes - Last author;Yes - One or more middle authors;Data labourers are in the Acknowledgements but it is unclear where they are based,"If these questions aim to get at parachute science there are two important things to note: 1) the authors of interest my be from the culture, community, or georegion under study and may be working elsewhere, and 2) researchers can be from the same georegion under study and still be conducting parachute science (e.g., this happens often in the US for historically minoritized communities such as Black and Indigenous communities with white and Westernized science; and there may be socially constructed hierarchies within the same georegion contributing to parachute science).",Yes,Yes,EDI Data Portal,Yes,Yes,Yes,.csv/.tsv,Yes,3,Unsure,Yes,CC BY,Unsure,NA,Unclear,NA,UNCLEAR,Yes,"All data packages and R scripts used in this study are avail -able through the Environmental Data Initiative: https:// doi.org/ 10. 6073/ pasta/ 3aa17817f2 8596b 2823d 49247 4a8a409 (Hallmark, 2024).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2025-09-29,NA,NA,NA,NA,NA,NA,12
