paper_number,doi,year_published,journal,article_type,data_used,data_availability,data_availability_text,data_link,data_archive,data_doi,data_license,data_license_type,data_download,data_open,data_format,data_README,data_README_scale,data_completeness,code_used,code_alert,code_archived,code_availability,code_link,code_archive,code_doi,code_license,code_license_type,code_CITATION,code_download,code_open,code_format,code_language,code_README,code_README_scale,code_annotation_scale,code_vignette,code_Rpackage_available,code_OTHERpackage_available,code_application_cited,code_comments,country_corresponding,country_first,georegion_data,georegion_author_match,georegion_data_cited,equity_comments,comments,course_of_action,justification,recorder_ID
3268,10.1111/1365-2664.14398,2023,Journal of Applied Ecology,Research Article,Yes,Yes,"Bat count data are available from Zenodo https://doi.org/10.5281/
zenodo.7740421 (Yoh et al., 2023 ). LiDAR structural data are avail-able at https://doi.org/10.5281/zenodo.4020697 (Swinfield et al.,2020).",Yes,Zenodo,Yes,Yes,CC BY,Yes,Yes,.xls(x),Yes,9,All the data necessary to reproduce all analyses and results are archived.,Yes,"All analysis was per-formed using R version 4.1.1 (2021- 08-10) statistical software (RCore Team, 2017).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,Malaysia,Yes - One or more middle authors;Yes - Data labourers from the georegion are in the Acknowledgements,"Australia;Brazil;Czechia;Hong Kong, Special Administrative Region;Malaysia;Netherlands (Kingdom of the);Papua New Guinea;Singapore;Spain;United Kingdom of Great Britain and Northern Ireland;United States of America",NA,2 dataset on 2 different zenodo and different number of citations,Edit,"The LIDAR dataset was published with an earlier paper from the same project, so only the bat count data are novel for this paper",71
1233,https://doi.org/10.1111/1365-2664.13867,2021,Journal of Applied Ecology,Research Article,Yes,Yes,"Data available from the Dryad Digital Repository https://doi.org/10.5061/dryad.80gb5mkqn (Straw et al., 2021).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),Yes,8,All the data necessary to reproduce all analyses and results are archived.,Yes,"All statistical analyses were carried out in ‚ÄòR‚Äô programming software version 3.6.2 (R Core Team, 2019).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,Yes - First author;Yes - Last author;Yes - One or more middle authors,NA,NA,"I believe the experiments were conducted, and data collected, in the United Kingdom of Great Britain and Northern Ireland; however, this is never stated explicitly and was only inferred.",None,Answer based on reasonable assumption,13
42,http://doi.org/10.1111/2041-210X.14076,2023,Methods in Ecology and Evolution,Research Article,Yes,Yes,"All data inputs, parameter estimates, trait predictions, and software are available publicly in r package FishLife (https://github.com/James-Thorson-NOAA/FishLife) using release number 3.0.1 (Thorson, 2023).",Yes,"GitHub, GitLab, Codeberg or similar platform;Zenodo",Yes,Unsure,"Other (Open) on zenodo, GPL-3.0 on github (not specific to the data)",Yes,Yes,.rda,Yes,2,Unsure,Yes,NA,Yes,Yes,Yes,"GitHub, Codeberg, Gitlab, or similar platform",Yes,Yes,GPL,No,Yes,Yes,"native source code (e.g. .R, .py, .jl, etc)","R (including Rmarkdown, Quarto);C/C++;CSS",Yes,2,3,No,Unable to check,NA,NA,NA,United States of America,United States of America,NO DATA COLLECTED,NA,NA,NA,NA,Delete,"Inclusion of data within the R package would make this laborious to check and correct, so more straightforward to delete",32
1717,10.1002/pan3.10690,2024,People and Nature,Research Article,Yes,No,The manuscript does not include any primary data. See Supporting Information S1 for the filled in analytical framework as part of the literature search.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Germany,Germany,Germany,Yes - First author;Yes - Last author;Yes - One or more middle authors,NA,"Regarding the country where the study was performed, as far as I can understand, all people surveyed are from Germany, but that is not clear, and the authors do not provide information on that.","Seventh paper I did. I took 28 minutes, in case that is useful. This is a bit of a tricky case. The authors developed a framework, but in the process, they performed a literature review, integrated expert knowledge via surveys, and developed a summary and a synthesis across studies. The authors, however, write ‚ÄúThe manuscript does not include any primary data.‚Äù, which I do not think is at all correct. Regarding the country where the study was performed, as far as I can understand, all people surveyed are from Germany, but that is not clear, and the authors do not provide information on that. Though the paper could have used code for some of the tasks, it all indicates that it did not.",None,Comment information documented in answers,11
1017,10.1111/2041-210X.14125,2023,Methods in Ecology and Evolution,Research Article,Yes,Yes,"Israel BATScan data sample, classifiers, codes and other relevant datasets are available at https://figshare.com/projects/BATScan_data_MEE/150732.",Yes,Figshare,Yes,Yes,CC BY,Yes,Maybe if I had the correct software,unnamed data format,No,NA,"Unsure but data files are labeled ""sample data"" so definitely incomplete",Yes,NA,Yes,Yes,Yes,Figshare,Yes,Yes,CC BY,Yes,Yes,Yes,"markdown / notebook containing code (e.g. .Rmd, .qmd, etc)","R (including Rmarkdown, Quarto)",No,NA,9,No,Not an R package,NA,NA,NA,Israel,Israel,Israel,Yes - First author;Yes - Last author;Yes - One or more middle authors;Data labourers are in the Acknowledgements but it is unclear where they are based,NA,NA,NA,None,Information fairly documented in answers,82
210,10.1111/2041-210X.13364,2020,Methods in Ecology and Evolution,Research Article,Yes,Yes,"We implemented our method in R. We provide the codes and the bumblebee and black kite datasets in Dryad Digital Repository https://doi.org/10.5061/dryad.47d7wm390 (Pasquaretta et al., 2015). The roe deer dataset was obtained from MOVEBANK (Wikelski & Kays, 2020). Animal Identifier: Sandro (M06), from Cagnacci et al. (2011) (https://www.movebank.org/). The wolf dataset was obtained from MOVEBANK (Wikelski & Kays, 2020), Animal identifier: Zimzik, from Kaczensky et al. (2006) (https://www.movebank.org/).",No,Dryad;MOVEBANK,Yes,Yes,CC0,Yes,Yes,.csv/.tsv,No,NA,All the data necessary to reproduce all analyses and results are archived.,Yes,NA,Yes,Yes,Yes,Dryad,Yes,Yes,CC0,No,Yes,Yes,"native source code (e.g. .R, .py, .jl, etc)","R (including Rmarkdown, Quarto)",No,NA,NA,No,Not an R package,NA,NA,"Long script, no testing, uneasy to apply to other data sets",France,France,Spain,No authors are based in the georegion,NA,NA,The paper contributes original data but also used two data sets from Movebank that are no longer available.,None,"Questions refer specifically to novel data archived for this paper, and the answers reflect this",55
4087,http://doi.org/10.1111/1365-2656.13005,2019,Journal of Animal Ecology,Research Article,Yes,Yes,"The data used in this study are available from the Dryad Digital Repository: https://doi.org/10.5061/dryad.m20hf10 (Naniwadekar, Chaplod, Datta, Rathore, & Sridhar, 2019).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv;.txt,Yes,5,All the data necessary to reproduce all analyses and results are archived.,Yes,NA,Yes,No,Yes,Dryad,Yes,Yes,CC0,No,Yes,Yes,"native source code (e.g. .R, .py, .jl, etc)","R (including Rmarkdown, Quarto)",No,NA,6,No,Not an R package,NA,NA,NA,India,India,India,Yes - First author;Yes - Last author;Yes - One or more middle authors;Data labourers are in the Acknowledgements but it is unclear where they are based,NA,NA,Archived R-code was part of the archived data set.,Edit,Updated answers to reflect comment,46
248,10.1111/1365-2745.13457,2020,Functional Ecology,Research Article,Yes,Yes,"Data are available from the Dryad Digital Repository https://doi.org/10.5061/dryad.stqjq2c0x (Calixto, Lange, Bronstein, Torezan-Silingardi, & Del-Claro, 2020).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),Yes,10,All the data necessary to reproduce all analyses and results are archived.,Yes,NA,Yes,No,Yes,Dryad,Yes,Yes,CC0,No,Yes,Yes,"native source code (e.g. .R, .py, .jl, etc)","R (including Rmarkdown, Quarto)",No,NA,8,No,Not an R package,NA,NA,NA,Brazil,Brazil,Brazil,Yes - Last author;Data labourers are in the Acknowledgements but it is unclear where they are based,UNCLEAR,NA,NA,Edit,Clarified data answers,102
4091,10.1111/1365-2656.13067,2019,Journal of Animal Ecology,Research Article,Yes,Yes,"Faunal community data (Yeager, 2018a, 2018b), core seagrass biomass (Yeager, 2019a), environmental data (Yeager, 2019a) and trait data (Yeager, 2019b) are archived with the Biological and Chemical Oceanography Management Office.",Yes,Institutional repository,No,Yes,CC BY 4.0,Yes,Yes,.csv/.tsv;.txt;.xml,Yes,1,All the data necessary to reproduce all analyses and results are archived.,Yes,"We used multiple regression models to examine the effects of the six environmental variables on each faunal variable using the lm function in r (R Core Team, 2016).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America,United States of America,United States of America,Yes - First author;Yes - Last author;Yes - One or more middle authors;Data labourers are in the Acknowledgements but it is unclear where they are based,NA,NA,"The data availability statement referred to other publications by the same author, which never linked to the actual data repository. It's clear that the data was collected as part of a larger project.",Edit,"Data in five separate repositories, with links given in references rather than directly in the data availability statement; answers updated to reflect this",46
1148,10.1111/1365-2745.12842,2017,Journal of Ecology,Research Article,Yes,Yes,"All relevant data are within the paper and its supporting files. Raw data of the experiment can be accessed via the Dryad Digital Repository https://doi.org/10.5061/dryad.p1k03 (Ensslin, Mollel, Hemp, & Fischer, 2017).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),Yes,2,Most data are provided with only small omissions (~75% of analyses can be repeated).,Yes,"All analyses were performed with the lme4 package in R version 3.2.5 (Bates, Maechler, Bolker, & Walker, 2015; R Core Team, 2015).",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Switzerland,Switzerland,"Tanzania, United Republic of",Yes - One or more middle authors;Yes - Data labourers from the georegion are in the Acknowledgements,UNCLEAR,NA,Corresponding author's country differ between spreadsheet (Belgium) and published paper (Switzerland),None,Entered affiliation country is correct,1
1157,10.1111/1365-2664.12885,2017,Journal of Applied Ecology,Research Article,Yes,Yes,Data and r code available from the Dryad Digital Repository https://doi.org/10.5061/dryad.2175q (Zirbel et al. 2017).,Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv;.txt,Yes,9,All the data necessary to reproduce all analyses and results are archived.,Yes,NA,Yes,Yes,Yes,Dryad,Yes,Yes,CC0,Yes,Yes,Yes,"native source code (e.g. .R, .py, .jl, etc)","R (including Rmarkdown, Quarto)",Yes,3,6,No,Not an R package,NA,NA,No,United States of America,United States of America,United States of America,Yes - First author;Yes - Last author;Yes - One or more middle authors;Data labourers are in the Acknowledgements but it is unclear where they are based,United States of America,NA,Data and R codes are archived in same dryad repository with common doi and citations,None,Comment information documented in answers,1
6656,10.1111/1365-2745.13349,2020,Journal of Ecology,Research Article,Yes,Yes,"Plant demographic and resource competition data have previously been archived on https://figshare.com/articles/Dataset_Godoy_et_al_2014_Ecology_Letters/4793488 (Godoy, Kraft, & Levine, 2017). The code supporting the results is archived on https://github.com/clsong/JE-Song_et_al-2020 (Song, Rohr, Vasseur, & Saavedra, 2020)",Yes,"Figshare;GitHub, GitLab, Codeberg or similar platform;Authors used data form a published study archived on Figshare. They also simulated some data for one of the result figures and archived it on Github","Pre-existing data has DOI, simulated data does not have DOI","Pre-existing data has license, simulated data does not have license",CC0,Yes,Yes,.csv/.tsv;.R,No,NA,Unsure,Yes,NA,Yes,Yes,Yes,"GitHub, Codeberg, Gitlab, or similar platform",No,No,Unclear,No,Yes,Yes,"native source code (e.g. .R, .py, .jl, etc)","R (including Rmarkdown, Quarto)",No,NA,6,No,Not an R package,NA,NA,The code is incomplete. It only exists for one of the result figures which included simulated data and not the data archived from the other paper.,United States of America,United States of America,NO DATA COLLECTED,"The authors are from the same bioregion the data were collected from. However, the data is a part of another paper, and the authors have only used it as test data to assess their hypotheses. Note that the authors have acknowledged insights from one of the coauthors of the original data paper",UNCLEAR,The authors have used the data from a previous study from the same georegion (USA) as test data to assess novel hypotheses in the study. The code for these tests is however missing. The authors also simulated data for hypothesis testing for one of their figures and have made the code available for this. See code section for more details,The study was not entirely a research article but also an application of a proposed framework. The authors propose a novel framework and use simulations to present it. They further use existing data from another article to test their hypotheses and provide evidence for their results. This made it a little difficult to respond to 'Data' and 'code' sections.,Delete,"It is very ambiguous as to whether there should be simulated data archived, and the empirical case study is not novel data, so it seems easier to delete than try to pick this apart",117
1161,10.1111/2041-210X.13029,2018,Methods in Ecology and Evolution,Application,No,NA,"Documentation and source code are freely available on CRAN (https://cran.r-project.org/web/packages/RRPP) and GITHUB (https://github.com/mlcollyer/RRPP). For updates, we recommend direct installationusing the r package, devtools (Wickham & Chang, 2017):> devtools::install_github(""mlcollyer/RRPP"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Yes,Yes,Yes,"GitHub, Codeberg, Gitlab, or similar platform;CRAN",Yes,Yes,GPL,Yes,Yes,Yes,"native source code (e.g. .R, .py, .jl, etc)","R (including Rmarkdown, Quarto)",Yes,5,4,Yes,Yes,NA,505,Unclear,NA,NA,NA,NA,NA,NA,My first paper with R package,None,No clear issue here,1
1839,http://doi.org/10.1111/2041-210X.13875,2022,Methods in Ecology and Evolution,Research Article,Yes,Yes,"Data and code used for the analyses of this manuscript are available at the Dryad Digital Repository https://doi.org/10.5061/dryad.vq83bk3vp (Mor?°n-L??pez et al., 2022).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.xls(x),Yes,8,The main analyses of the paper cannot be repeated with the data that has been archived.,Yes,NA,Yes,Yes,Yes,Zenodo,Yes,Yes,MIT,No,Yes,Yes,"native source code (e.g. .R, .py, .jl, etc)","R (including Rmarkdown, Quarto)",Yes,4,3,No,Not an R package,NA,NA,One of the functions is actually written in STAN and wrapped using 'rstan' to be run in R,Argentina,Argentina,Uruguay,Yes - One or more middle authors;Data labourers are in the Acknowledgements but it is unclear where they are based,NA,NA,"The main issue was answering questions about the code. I knew that they worked with R and that they intended to upload .R scripts based on the README, but I couldn't double-check because it looks like they forgot to actually upload the scripts before publishing the dryad repository",Edit,The code files are in a Zenodo repository attached to the Dryad repository,22
1707,10.1111/2041-210X.13513,2020,Methods in Ecology and Evolution,Research Article,Yes,Yes,"The R code used in our analyses is available at https://doi.org/10.5281/zenodo.4075393 (McCaslin et al., 2020). The white stork dataset is available on Movebank (Fiedler et al., 2019, https://doi.org/10.5441/001/1.v1cs4nn0) and in the r package ‚ÄòmoveVis‚Äô (Schwalb-Willmann et al., 2020).",Yes,Movebank and the r package ‚ÄòmoveVis‚Äô,Yes,Yes,CC0,Yes,Yes,.csv/.tsv;.txt,Yes,10,All the data necessary to reproduce all analyses and results are archived.,Yes,NA,Yes,Yes,Yes,Zenodo,Yes,Unclear,"""OPEN"" is stated on the Zenodo landing page.",No,Yes,Yes,"native source code (e.g. .R, .py, .jl, etc);.csv/.tsv;.md","R (including Rmarkdown, Quarto)",Yes,1,2,No,Not an R package,NA,NA,"The code seems to be complete, but is almost not annotated.",United States of America,United States of America,NO DATA COLLECTED,No authors are based in the georegion,Germany;United States of America,Data from Movebank and an R package have been used.,"The code, its annotation and its citations stats were totally unclear",Delete,Both data and code reporting seem very messy so more efficient to delete than attempt to tidy up,65
32770,10.1111/1365-2656.14112,2024,Journal of Animal Ecology,Research Article,Yes,Yes,"Data are available from the Dryad Digital Repository: http://doi.org/10.5061/dryad.tmpg4f569 (Rovira et al., 2024).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv,Yes,10,"""A CSV file mentioned in the README is missing, which prevents reproducing the temporal analysis.",Yes,NA,Yes,No,No,Zenodo,Yes,Yes,MIT,No,Yes,Yes,"native source code (e.g. .R, .py, .jl, etc)","R (including Rmarkdown, Quarto)",No,1,8,No,Not an R package,NA,NA,NA,Spain,Spain,Spain,Yes - First author;Yes - One or more middle authors;Yes - Data labourers from the georegion are in the Acknowledgements,UNCLEAR,NA,"As mentioned in the Data Section, the DRYAD metadata refers to a CSV file that is not included in DRYAD. Therefore, it cannot be downloaded, and the analysis that relies on this data cannot be reproduced.",None,Comment information documented in answers,135
3271,10.1111/2041-210X.13384,2020,Methods in Ecology and Evolution,Application,Yes,Yes,"Since metan is updated regularly, the source code used in this manuscript has been archived at https://doi.org/10.5281/zenodo.3548917 as metan version 1.1.0 (Olivoto, 2019). Please, note that there is an updated version of metan in CRAN (https://CRAN.R-project.org/package=metan); so, we strongly suggest users to download it. To explore the latest metan's functionalities, we invite you to download the development version from GitHub (https://github.com/TiagoOlivoto/metan). Package vignettes are also open-source, accessible at https://tiagoolivoto.github.io/metan/. Installing and loading metan will automatically load all example data used in this paper.",No,Zenodo,Yes,No,NA,Yes,Yes,.rda,No,1,All the data necessary to reproduce all analyses and results are archived.,Yes,NA,Yes,Yes,Yes,"GitHub, Codeberg, Gitlab, or similar platform;Zenodo",Yes,Yes,GPL,Yes,Yes,Yes,"native source code (e.g. .R, .py, .jl, etc)","R (including Rmarkdown, Quarto)",Yes,10,10,Yes,Yes,NA,659,NA,Brazil,Brazil,NO DATA COLLECTED,NA,UNCLEAR,NA,"The ""issue"" was that the example data was inside of the metan package. It can be downloaded from a package's folder but it is not mentioned where to download from the paper.",None,Comment information documented in answers,135
1897,http://doi.org/10.1111/1365-2664.14080,2021,Journal of Applied Ecology,Research Article,Yes,NA,"Data are available via the Dryad Digital Repository https://doi.org/10.5061/dryad.80gb5mkrw (Picardi et al., 2021). The code is available on GitHub https://github.com/picardis/bsdhs.",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.RDS,Yes,8,Some analyses can be repeated but not all (~50% of analyses can be repeated).,Yes,NA,Yes,Yes,Yes,"GitHub, Codeberg, Gitlab, or similar platform",Yes,Unclear,NA,No,Yes,Yes,"native source code (e.g. .R, .py, .jl, etc)","R (including Rmarkdown, Quarto)",No,NA,NA,NA,Not an R package,NA,NA,NA,United States of America,United States of America,United States of America,Yes - First author;Yes - Last author;Yes - One or more middle authors,NA,NA,"I should have stopped one paper shorter yesterday (Sep 29th). Thsi morning I reaslied I may have accidentally recorded the data for this paper under the wrong number (1896). 1896 should be ""A multi‚Äêstate occupancy model to non‚Äêinvasively monitor visible signs of wildlife health with camera traps that accounts for image quality"" http://doi.org/10.1111/1365-2656.13515 from Brazil instead. Sorry! I have done a correct version of 1896 this morning as well, so hopefully you can just remove the duplicate",None,Comment information suggests incorrect paper number but that is wrong,54
1067,http://doi.org/10.1111/1365-2664.13688,2020,Journal of Applied Ecology,Research Article,Yes,Yes,"Data available via the Dryad Digital Repository https://doi.org/10.5061/dryad.05qfttf0k (Belharet et al., 2020).",Yes,Dryad,Yes,Yes,CC0,Yes,Yes,.csv/.tsv,No,4,Unsure,Unsure,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Italy,Italy,France;Italy;Spain,Yes - One or more middle authors;The 3 regions are covered by different middle authors,NA,NA,"It appears very transparent about the data and calculations of model parameters, but I am just too unfamiliar with the field to understand whether this is sufficient to repeat the model simulations",Edit,Updated answers to reflect comment,68
3433,10.1111/2041-210X.13808,2022,Methods in Ecology and Evolution,Research Article,Yes,Yes,"The r package of the ESCROpath model, based on the escrocR package (Drouineau et al., 2018; Drouineau & Lobry, 2020) implementing the method, is available on GitHub (https://github.com/Irstea/escroc; https://doi.org/10.5281/zenodo.5226371). The dataset used for the implementation on the Gironde case study is described in Munoz (2015) and Munoz et al. (2017). Details on the data and the priors used for implementing ESCROC can be found in Ballutaud et al. (2019). All these data are included and available on the r package stored in a zenodo repository (Lobry et al., 2021).",Yes,"GitHub, GitLab, Codeberg or similar platform;Zenodo",Yes,Yes,Open,Yes,Yes,The paper developed a new R package: .rda .R .rd,Yes,NA,R package,Yes,NA,Yes,Yes,Yes,"GitHub, Codeberg, Gitlab, or similar platform;Zenodo",Yes,Yes,Open,"Available in R with citation(""escrocR"")",Yes,Yes,"native source code (e.g. .R, .py, .jl, etc)","R (including Rmarkdown, Quarto)",Yes,10,7,Unsure,NA,NA,NA,NA,France,France,NO DATA COLLECTED,NA,NA,"This paper aimed to create a new R package, no data collected but I considered the R package as data","This paper describe a R package, so I am not sure about some answer.",Delete,"This enterer falsely described the R package as data rather than code, so would need completely redoing, faster to delete",61
703,10.1111/2041-210X.13850,2022,Methods in Ecology and Evolution,Research Article,No,NA,The ConScape library is open-source and hosted at https://github.com/ConScape/ or available from van Moorter et al. (2022).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Yes,Yes,Yes,"GitHub, Codeberg, Gitlab, or similar platform",No,Yes,GPL,NA,Yes,Yes,"native source code (e.g. .R, .py, .jl, etc)",Julia,NA,NA,10,Yes,Not an R package,Julia package: ConScape,NA,NA,NA,NA,NA,NA,NA,NA,"The paper is classified as a research article, but should be an Application. Therefore, I answered as if it would be classified as an Application.",Edit,"The comment is incorrect, the paper is a Research Article, so have amended",41
6780,10.1111/1365-2664.12880,2017,Journal of Applied Ecology,Research Article,Yes,Yes,"Questionnaire responses are available from the Dryad Digital Repository https://doi.org/10.5061/dryad.t4t73 (Behr, Ozgul & Cozzi 2017).

Data source of predictors used for a spatially explicit representation of human acceptance is indicated in Appendix S3.",Yes,Dryad;Supplementary materials,Yes,No,NA,Yes,Yes,.csv/.tsv;.txt,Yes,10,Most data are provided with only small omissions (~75% of analyses can be repeated).,Yes,We performed all statistical and spatial analyses in R (R Core Team 2015).,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Switzerland,Switzerland,Switzerland,Yes - First author;Yes - Last author;Yes - One or more middle authors;Yes - Data labourers from the georegion are in the Acknowledgements;Data labourers are in the Acknowledgements but it is unclear where they are based,NA,NA,"Unsure about whether the people referenced in the acknowledgements count as data labourers or not. Erred on the side of yes, they do count and have filled out the Google form accordingly.",None,Comment information documented in answers,67
3430,10.1111/1365-2435.14252,2023,Functional Ecology,Research Article,Yes,Yes,"Data are available from the Dryad Digital Repository https://doi.org/10.5061/dryad.tb2rbp04f (Jiao et al., 2022).",Yes,Dryad,Yes,Yes,CC0,Yes,"I can open the .xlsx, but  don't have Python for the .npy",Unsure,Yes,8,Unsure,Yes,NA,Yes,Yes,Yes,Dryad,Yes,Yes,CC0,No,Yes,Maybe if I had the right software,"native source code (e.g. .R, .py, .jl, etc)",Python,No,NA,NA,NA,NA,NA,NA,NA,China,China,NO DATA COLLECTED,"Data collected in previous studied in China, this paper is from a Chinese team",NA,NA,"The paper is a meta-analysis, but I don't understand the data fodder provided, and since I cannot open/understand Python I can't interpret the code. Thus, I am unable to verify if data are provided, if the code is correct, etc. I am not even sure about which file is supposed to be code or data: I have the feeling that according to the Readme all the files are data, but most files are in .npy format...",Delete,"This entry would need extensive work to correct, so easier to delete",61
7943,10.1111/1365-2435.12910,2017,Functional Ecology,Research Article,Yes,Yes,"Data on root functional traits, resource allocation and biomass are archived at the Dryad Digital Repository https://doi.org/10.5061/dryad.9d2n3 (Schaeffer et al., 2017). Fungal community sequence data are archived in the MG-RAST public database (Project ID: 4745987.3).",Yes,Dryad;MG-RAST,Yes,Yes,CC0,Yes,Yes,.xls(x),Yes,6,Most data are provided with only small omissions (~75% of analyses can be repeated).,Yes,All analyses were performed using r v. 3.2.2 (R Core Team 2015).,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States of America,United States of America,United States of America,Yes - First author;Yes - Last author;Yes - One or more middle authors;Yes - Data labourers from the georegion are in the Acknowledgements,NA,NA,I was unable to access sequential data archived in the MG-RAST public database due to the security warning ‚ÄòYour connection is not private‚Äô.,Edit,I was able to access the MG-RAST but answers were updated to reflect the main Dryad repository,2
1057,https://doi.org/10.1111/2041-210X.14062,2023,Methods in Ecology and Evolution,Practical Tools,Yes,Yes,"All the codes presented in this paper are available in the supporting information S1, and in the project GitHub repository (https://github.com/frareb/pi2p/) and associated Zenodo repository (Rebaudo et al. (2022); https://doi.org/10.5281/zenodo.7479887). Codes are distributed under GNU AFFERO GENERAL PUBLIC LICENCE Version 3 as mentioned in the LICENCE file of the GitHub repository. The production server is available at https://pi2p.ird.fr/ and the associated documentation at https://frareb.github.io/pi2p_docu/. The API documentation using Swagger is available at https://pi2p.ird.fr/documentation/api/ and in the GitHub repository. The Data presented in the result section can be extracted directly from the server or can be found in the project dataverse repository at https://dataverse.ird.fr/dataverse/pi2p with updates once a year.",Yes,DataVerse,Yes,Yes,CC BY 4.0,Yes,Yes,.csv/.tsv,Yes,8,Unsure,Yes,NA,Yes,Yes,Yes,"GitHub, Codeberg, Gitlab, or similar platform;Zenodo",Yes,Yes,AGPL,NA,Yes,Yes,"native source code (e.g. .R, .py, .jl, etc);markdown / notebook containing code (e.g. .Rmd, .qmd, etc)",Python;C/C++;CSS;HTML;Java;Shell;SQL,"Yes, but only for Creation of a REST API",4,7,No,Not an R package,NA,NA,"The code include some tests, but I am not familiar with most of the languages in this code to jugde.",France,France,Bolivia (Plurinational State of);France;Kenya,Yes - First author;Yes - Last author;Yes - One or more middle authors,NA,NA,"This is a paper developing a tool. It reports that it has data, but I did not find the data in the repo. The repo includes a lot of different code, which I am not too familiar with, so maybe this paper should be checked again if it has been assessed correctly.",Edit,Updated answers for the data repository mentioned at end of availability statemenet,26
1068,http://doi.org/10.1111/1365-2435.14354,2023,Functional Ecology,Research Article,Yes,Yes,Additional Supporting Information will be found online in the Supporting Information section at the end of the article. Illumina sequencing data have been deposited with links to BioProject accession number PRJNA952620 in the NCBI BioProject database (https://www.ncbi.nlm.nih.gov/bioproject/).,Yes,NCBI GenBank,"I think no, but it has an accession ID",Unsure,NA,I think yes but they are large genomic files,Maybe if I had the correct software,.fastq,No,NA,"It is really difficult for me to judge this because the paper is far out of my field - I think yes; all sequence data is published, and the supporting info contains the data on environmental parameters and such used",Yes,"Unless stated otherwise, the ‚Äòpicante‚Äô r package (Kembel et al., 2010) was used for all community analyses.
we compared measures of SR and PD between habitats by fitting linear mixed models with ‚ÄòHabitat‚Äô as fixed effect and ‚ÄòSite‚Äô as random effect using the r package ‚Äòlme4‚Äô (Bates et al., 2015).
...using the ‚Äòvegan‚Äô r package (Oksanen et al., 2019).
...using the ‚Äòindval‚Äô function from the ‚Äòlabdsv‚Äô r package (Roberts, 2019).
Edaphic factors that best fit the db-RDA model were selected using the ‚ÄòordiR2step‚Äô function from ‚Äòvegan‚Äô. The significance of the selected variables was assessed by the function ‚Äòanova.test‚Äô in ‚Äòvegan‚Äô.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Netherlands (Kingdom of the),Netherlands (Kingdom of the),Germany;Netherlands (Kingdom of the),Yes - One or more middle authors;Between the different authors all regions for collected data are represented,NA,NA,I am less familiar with sequence data and downstream analyses so some answers were hard to provide,None,Comment information documented in answers,68
363,10.1111/1365-2435.14448,2023,Functional Ecology,Research Article,Yes,Yes,"Data are available from the Dryad Digital Repository: https://doi.org/10.5061/dryad.crjdfn3b1 (Chen et al., 2023).",Yes,Dryad,Yes,Unsure,NA,Yes,Yes,.xls(x),Yes,1,Some analyses can be repeated but not all (~50% of analyses can be repeated).,Yes,"Hue refers to the tone of colour, for example red, green and blue, which is evaluated by the wavelength of half-maximum reflectance, using the R package pavo (Maia et al., 2019). The relative intensity of a secondary peak (SP) was quantified by the ratio between the height of the SP and the height of the entire spectrum (following Chen, Niu, et al., 2020). Moreover, phylogenetic principal component analysis (PCA) was conducted (using the phyl.pca function in the R package phytools; Revell, 2012) on the spectral data to construct a spectral space, in which the comparison between flowers and fruits was made.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,China,China,not mentioned,It is not mentioned where the data collected came from.,NA,NA,"They mention tha some of their data was collected by fieldwork, but do not mention where.",None,Comment information documented in answers,94
